"Name","Review"
"Trang Nguyễn","Mình mở tài khoản hôm nay. PGD đẹp và sạch sẽ. Nhân viên phục vụ chu đáo, nhanh chóng. Khuyên mọi người đi lúc đầu giờ sáng hoặc đầu giờ chiều sẽ không phải đợi lâu. Gần cửa có cây lấy số, mọi người chọn dịch vụ rồi ngồi ghế đợi đọc số gọi vào quầy tương ứng là được."
"Truongphat Cooling Tower","Trụ sở chính của chi nhánh Tây Hà Nội, diện tích rộng rãi sạch đẹp, ngay mặt đường rất tiện lợi. Lượng khách không quá đông"
"Hiếu Chu","Làm ăn như kiểu bố đời.
Xuống làm cho công ty  10h mới tới làm tới 11h xong 13h làm tới 14h bảo hết giờ. …"
"MSN official","nhân viên phục vụ chuyên nghiệp nhưng đông , khách phải đợi quá lâu để được xử lí"
"Nguyễn Tú (FUDO)","tác phong nhân viên làm việc rất tốt. nhưng cái vách  kính chắn âm nên không nghe rõ lắm."
"Quang Linh Nguyễn","Ngân hàng tốt, giao dịch nhanh, tks"
"Ly Lee","Trải nghiệm tệ. Trời mưa vừa dừng được xe xuống thì bảo vệ đuổi không cho vào. Rõ ràng chưa hết giờ hành chính. Làm ăn kiểu này bảo sao mất hết khách ạ"
"Sơn Vũ","Trải nghiệm dịch vụ khách hàng doanh nghiệp làm bảo lãnh rất tệ. Nhân viên bảo lãnh L.T. Mạnh kỹ năng kém, không có trách nhiệm giải quyết vấn đề của khách hàng, không có tinh thần hợp tác làm ảnh hưởng đến công việc và lợi ích của khách hàng."
"Sun A","Gọi yêu cầu hỗ trợ mà KH hỏi rồi ko nói gì, để đt đó rồi tắt, ít ra trả lời có hỗ trợ đc hay ko, đây ko chuyên nghiệp"
"Huong Tran","Mình muốn nói là mình rất thất vọng về dịch vụ và thái độ phục vụ của nhân viên ngân hàng VCB cơ sở tố hữu HH03, Tố Hữu, Vạn Phúc, Hà đông, Hà nội.
Chiều nay ngày 18.3.2021, lúc 15-16h, mình tới lấy thẻ ATM và thẻ visa debit sau …"
"",""
"",""
"Mi Mina","Chi nhánh ngân hàng ngoại thương Việt Nam Vietcombank chi nhánh Tây HÀ Nội ở Lô HH03 đường Tố Hữu, phường Vạn Phúc, quận HÀ Đông, Hà Nội. Mở cửa đúng giờ, nhân viên nghiệp vụ khá vững, giao dịch không nhanh, nên đến sớm để thực hiện"
"Phuc Hcv (Phuc Vigor)","Rất là rộng và sạch. Nhân viên tạm đc. Nên lấy số thứ tự để gọi vào thì tốt hơn"
"Cây Cảnh Online","Toà nhà rất cao. Ngân hàng nhiều tiền"
"Thảo Lê","Nhân viên niềm nở, nhiệt tình, chuyên nghiệp, rất hài lòng."
"NGỌC LÊ","Đông quá"
"Trang Nguyễn Thị","Thái độ tốt, giao dịch nhanh, rất cẩn thận"
"Mjolnir Mino","Nv phục vụ tốt 👍👍 …"
"Tuan Nguyen","Cơ sở vật chất tối, nhân viên phục vụ niềm nở, chuyên nghiệp"
"phuong h","nhờ nhân viên cài banking thì ko cài, gọi điện cho cskh hỗ trợ tư vấn, nhân viên tư vấn giục giã để tắt cuộc gọi"
"Tuyết Trịnh","Không gian rộng rãi, hiện đại, nhân viên thân thiện, nhiệt tình 👍👍👍 …"
"Chef Bomboo","Vị trí thuận lợi"
"Tuan Pham","Ngân hàng không tiếp nhận hồ sơ đăng ký mở tài khoản? Lấy lý do để nghỉ sớm"
"Thep Gang","Chỉ troRời xa mãi ....trong cơn mưa ...ngày ấy ...
ng mơ ước vọng đến một lần."
"Khanh Phu Thai","Toà nhà hoành tráng, địa điểm dễ tìm. Khu văn phòng sạch sẽ, đẹp đẽ."
"Luxe Home - Thiết Kế Nhà Đẹp","nhân viên rất thân thiện nhiệt tình và chu đáo"
"Liên Nguyễn","Gọi điện thoại nứt cả máy, sao không ai trả lời."
"Trường Gầy","Thái độ phục vụ của nhân viên kém"
"mystery iris","địa điểm thuận lợi, nhân viên chuyên nghiệp"
"Phạm Huấn","Chi nhánh to đẹp"
"Thanh Nguyễn Ngọc","J vào bụng vai và ngực"
"Chung Nguyenngoc","Vị trí đẹp, rút tiền qua thẻ ATM tiện lợi, tiền mới."
"An an","Thái độ nhận viên không niềm nở"
"Chung Kiều","Đã thi tuyển ở đây"
"Ha Hinto","it is a bit packed but staff are nice though"
"Hai Nguyen","Tốt"
"Cherry Trang","Tạm ổn về tác phong"
"Vũ Huy Thái","Thủ tục nhanh chóng"
"Tuấn Anh Hoàng","Sử dụng tốt."
"ĐẠT LỀU","Quá tồi"
"Thế Giới Đèn Chùm","dịch vụ tốt"
"bao bach","Bảo mật đó"
"vinh Hoang","Thường khá đông"
"Việt Nguyễn","Tương đối tốt"
"Gỗ ITT Việt Nam (Gỗ ITT Việt Nam)","Good"
"Dung Cao Thị Xuân","ok"
"Phan Mạnh Doanh","OK"
"Hạnh Vũ Official","Ok"
"Maria Sale GMEX","Ok"
"k tk","Nhân viên bảo vệ, nhân viên ngân hàng, mọi người đều có thái độ tốt. Có hiệu quả."
"Cuong nguyen trung",""
"Minh Nguyen Tuan",""
"ninh kim van",""
"Mai Anh Nguyen",""
"Hoi Nguyen",""
"Hiền Đỗ",""
"Ho Lam",""
"Ha Dinh Manh",""
"ngoc thang Hoang",""
"Trung Nguyen",""
"Phạm Quốc Chính (Kaiser Mobi)",""
"Nguyễn văn Long",""
"BVT_28 Vlogs",""
"Bắc Vương Nguyên",""
"Duc Nguyen",""
"Minh Minh",""
"Quang Tiep Ha",""
"Hưng Nguyễn",""
"dumplins momma",""
"Quỳnh Mai",""
