"Name","Review"
"Le Van Hung","Chất lượng siêu tệ gọi hỗ trợ khách hàng cá nhân không được, gọi sang bên danh nghiệp dù rất rảnh nhưng không chịu hỗ trợ bắt gọi sang bắt hàng cá nhân"
"Thanh Trương","Nhân viên thái độ với kh quá tồi"
"Trung Tâm Máy Chiếu Vici","Nhanh chóng. Rộng rãi, địa điểm dễ tìm"
"Pham Nathan","Mình đến cập nhật thông tin tài khoản thì được giải quyết nhanh gọn hiệu quả. Nhân viên tận tình, thân thiện, và chu đáo."
"Hương Hà","Thái độ phục vụ kém,tôi đến sếp hàng gần 20 phút chưa nộp được  tiền,mà trước tôi chỉ 1 khách đang ngồi trong quấy,và sau đó có người vào ngang nhiên chen ngang"
"Cường Trần","Bảo vệ làm việc rất thiếu chuyên nghiệp, lơ nga lơ ngơ làm mất thời gian"
"Nguyễn Hà Nam","Trước rất thích, là khách hàng 5 năm rồi  nhưng gần đât Tcb gần đây làm ăn khiến mình thất vọng"
"K61 NGUYỄN THỊ PHƯƠNG THẢO","Bảo vệ mất lịch sự, bảo khách đi thì mang não vào"
"Anh Trịnh","Đi xe máy mà bị bảo vệ đuổi không cho để xe, tức quá về luôn"
"Phương Thảo","Bảo vệ láo nháo, mất lịch sự, chửi khách."
"",""
"",""
"Nguyễn Doanh Đông","Dịch vụ và quy trình ok, nhân viên tiếp đón chuqa tốt"
"Hoang Mai Huong","Chỉ là ngân hàng ko có atm rút tiền mn lưu ý"
"Đức Bùi Huy","Chán NH"
"Ngọc Tân Hoàng","Nhân viên xinh."
"Khánh Nam","3* chờ đợi là hạnh phúc"
"Thuận Nguyễn Quang","Phục vụ tốt"
"Nana Am","Giao dịch viên đẹp"
"kenhphim vlog","Ok"
"Dat Truong",""
"Ta Thi My Hanh",""
"Duc Loc Le",""
"Hương Thanh",""
"Mun Tv",""
