"Name","Review"
"CƠM","Ngân hàng làm việc rất mất thời gian, chờ hơn 1.5 tiếng mà vẫn chưa đến lượt, khách vào sau thì đc giao dịch trước ngân hàng xem lại cách phục vụ khách hàng"
"Tuyết Lan Hà","Trải nghiệm tệ hại, hôm nay mình ra làm thẻ, nhân viên ở quầy giao dịch số 5 thái độ lồi lõm hãm vch, để đợi 1 tiếng rồi quay ra bảo chị có quyền từ chốI làm thẻ cho em. Nếu ngay từ đầu từ chối để còn biết đi chi nhánh khác, đây cái thái độ như mẹ thiên hạ. Không bao giờ quay lại đây lần nữa"
"Maggie Luu","Mình có tài khoản online của ACB được mở qua công ty (trong SG) và bị quên mật khẩu. Mình có ra quầy để được hỗ trợ mở tài khoản. Bạn giao dịch viên khá thân thiện nhưng có một bạn khác, không hiểu là quản lý hay gì, rất thái độ với mình. …"
"Hồng Hạnh Nguyễn","Sáng nay qua ACB giao dịch tại quầy số 1 .Nhân viên làm việc kém chuyên nghiệp.Đưa tiền gửi vào tài khoản các mệnh giá nv ngân hàng đếm xong k báo lại số tờ chỉ in 1 tờ tổng ,mk chưa kiểm đã cất hết số tiền của mk vào ngăn tủ Đến khi mk hỏi mới viewts ra số tờ mk k hiểu luôn. Ai đi giao dịch cần để ý kiểm tiền trc ở nhà."
"Nhung","Dịch vụ phải chờ lâu. Nhân viên quầy giao dịch ko nhiệt tình, niềm nở. Lúc thắc mắc về thẻ gọi hotline hỏi thì nói như quát với khách."
"Luân Đỗ","Nhân viên chậm chạp, hỗ trợ khách hàng kém, thái độ rất không phù hợp làm nhân viên đứng quầy"
"Linh H Le","good services cơ mà dạo này hơi đông, beautiful tellers"
"Huyen My","Có tin tưởng vay tin chấp qua online k mn"
"Phạm Huấn","Thái độ nhân viên thân thiện! Có sự phân biệt lớn giữa khách hàng vip và những khách hàng giao dịch bình thường!"
"Zero Kanata","Một trong các ngân hàng hàng đầu Việt Nam về chất lượng dịch vụ"
"",""
"",""
"Duc Thanh (Altai)","Anh chị làm việc tận tình, chu đáo, dễ thương, thân thiện cảm ơn ạ."
"Hung Luong Quoc","Qua làm thẻ và dịch vụ nhanh chóng và đông nhân viên hỗ trợ."
"Trần Việt Hoàng","Dịch vụ kém chất lượng, làm lỗi hỗ trợ không nhiệt tình."
"Vi Chiến Thắng","Ngân hàng ACB  Phát hành và thanh toán thẻ tín dụng, thẻ ghi nợ."
"Khánh Nam","Dịch vụ khá ổn. Làm cái thẻ mà 30ph có ngay"
"Duy Nguyen Duc","Nhân viên ngân hàng đông, phục vụ nhanh"
"Tây Hồ NHà Đất","Ngân hàng hoạt động cho vay tốt"
"Hương","Trải nghiệm rất tệ."
"gau pooh","Rất tốt!"
"phu cuong tran","Các Bạn rất vui vẻ!"
"Bao Ha","Super crowded through out the day"
"Tuấn Phạm Anh","Tuyệt vời!!"
"Nguyễn Kiên","Uki"
"Hoa Ngọc Lan",""
"dong vu",""
"BiBi Do",""
"VŨ THỊ HẠNH",""
"Vương Phương",""
"Ngân hàng Vay vốn",""
"Hoang Nguyen",""
"Long Hà",""
"Anh Lưu (Lưu Anh)",""
"Bống Bang",""
